"","Report.ID","Model","Lighting","Weather...Clear","Weather...Snow","Weather...Cloudy","Weather...Fog.Smoke","Weather...Rain","Weather...Severe.Wind","Weather...Unknown","Weather...Other","Weather...Other.Text","Highest.Injury.Severity.Alleged"
"2402","13781-1855","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2403","13781-1854","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2404","28349-1805","Dream/Prototype","Dark - Not Lighted","Y"," "," "," "," ",NA," "," ","","No Injuries Reported"
"2405","13781-1826","Model 3","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"2406","13781-1825","Model Y","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"2407","13781-1826","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2408","13781-1825","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2409","62-1823","Pilot","Unknown"," "," "," "," "," ",NA,"Y"," ","","Moderate"
"2410","62-1814","Accord Hybrid","Unknown"," "," "," "," "," ",NA,"Y"," ","","No Injuries Reported"
"2411","13781-1802","Model 3","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"2412","13781-1800","Model Y","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"2413","13781-1793","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2414","13781-1784","Model 3","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"2415","13781-1785","Model X","Unknown"," "," "," "," "," ",NA,"Y"," ","","Fatality"
"2416","10039-1520","X5M","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2417","28349-1805","Dream/Prototype","Dark - Not Lighted","Y"," "," "," "," ",NA," "," ","","No Injuries Reported"
"2418","62-1804","MDX","Unknown"," "," "," "," "," ",NA,"Y"," ","","No Injuries Reported"
"2419","62-1803","MDX","Unknown"," "," "," "," "," ",NA,"Y"," ","","No Injuries Reported"
"2420","13781-1802","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2421","13781-1800","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2422","13781-1793","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2423","13781-1776","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2424","13781-1775","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2425","13781-1773","Model 3","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"2426","13781-1772","Model Y","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"2427","13781-1771","Model 3","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"2428","13781-1785","Model X","Unknown"," "," "," "," "," ",NA,"Y"," ","","Fatality"
"2429","13781-1784","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2430","502-1763","Bronco Sport","Dark - Not Lighted","Y"," "," "," "," ",NA," "," ","","No Injuries Reported"
"2431","13781-1776","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2432","13781-1775","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2433","13781-1734","Model 3","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"2434","13781-1773","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2435","13781-1772","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2436","13781-1771","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2437","62-1770","Odyssey","Unknown"," "," "," "," "," ",NA,"Y"," ","","Moderate"
"2438","13781-1750","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2439","13781-1749","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"2440","13781-1737","Model 3","Dark - Not Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
