"","Report.ID","Model","Lighting","Weather...Clear","Weather...Snow","Weather...Cloudy","Weather...Fog.Smoke","Weather...Rain","Weather...Severe.Wind","Weather...Unknown","Weather...Other","Weather...Other.Text","Highest.Injury.Severity.Alleged"
"1","1420-7878","ID.4","Dark - Unknown Lighting","Y"," "," "," "," ",NA," "," ","","No Injuries Reported"
"2","29990-7911","R1S","Dark - Unknown Lighting","Y"," "," "," "," ",NA," "," ","","No Injuries Reported"
"3","13781-7909","Model Y","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"4","13781-7908","Model 3","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"5","13781-7907","Model X","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"6","13781-7906","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"7","13781-7905","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"8","13781-7903","Model Y","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"9","13781-7902","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"10","13781-7899","Model 3","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"11","13781-7898","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"12","13781-7897","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"13","13781-7895","Model 3","Dark - Lighted"," "," ","Y"," ","Y",NA," "," ","","Unknown"
"14","1306-7737","bZ4X","Daylight"," "," ","Y"," ","Y",NA," "," ","","Unknown"
"15","945-7635","Ariya","Dark - Unknown Lighting"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"16","945-7588","Ariya","Daylight"," "," "," "," "," ",NA,"Y"," ","","No Injuries Reported"
"17","669-7747","Santa Cruz","Daylight","Y"," "," "," "," ",NA," "," ","","Minor"
"18","855-7869","E450 4Matic Cabriolet","Daylight","Y"," "," "," "," ",NA," "," ","","No Injuries Reported"
"19","13781-7868","Model Y","Daylight"," "," ","Y","Y","Y",NA," "," ","","Unknown"
"20","13781-7867","Model Y","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"21","13781-7866","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"22","13781-7865","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"23","13781-7864","Model Y","Daylight"," "," ","Y"," ","Y",NA," "," ","","Unknown"
"24","13781-7863","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"25","13781-7861","Model Y","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"26","13781-7861","Model Y","Dark - Not Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"27","1243-7850","Forester","Daylight","Y"," "," "," "," ",NA," "," ","","Minor"
"28","13781-7838","Model 3","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"29","13781-7837","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"30","13781-7836","Model Y","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"31","13781-7835","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"32","13781-7834","Model 3","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"33","540-7731","Tahoe","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"34","13781-7825","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"35","13781-7824","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"36","13781-7823","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"37","13781-7796","Model Y","Dark - Lighted"," "," ","Y"," "," ",NA," "," ","","No Injuries Reported"
"38","855-7779","AMG EQE 53 4MATIC Sedan","Daylight","Y"," "," "," "," ",NA," "," ","","Moderate"
"39","13781-7812","Model X","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"40","13781-7811","Model 3","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"41","13781-7810","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"42","13781-7809","Model Y","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"43","10561-7760","Mach E","Unknown"," "," "," "," "," ",NA,"Y"," ","","Fatality"
"44","669-7747","Santa Cruz","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"45","669-7746","Sonata","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"46","13781-7802","Model Y","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"47","13781-7801","Model Y","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"48","13781-7800","Model 3","Dawn / Dusk"," "," "," ","Y"," ",NA," "," ","","Unknown"
"49","13781-7799","Model Y","Dawn / Dusk","Y"," "," "," "," ",NA," "," ","","Unknown"
"50","13781-7798","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"51","13781-7797","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"52","62-7622","Accord","Unknown"," "," "," "," ","Y",NA," "," ","","Serious"
"53","13781-7796","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Fatality"
"54","1306-7737","bZ4X","Daylight"," "," ","Y"," ","Y",NA," "," ","","Unknown"
"55","13781-7790","Model Y","Dark - Not Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"56","13781-7786","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"57","13781-7790","Model Y","Dark - Not Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"58","13781-7789","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"59","13781-7788","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"60","13781-7786","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"61","13781-7787","Model S","Dark - Lighted"," "," ","Y"," "," ",NA," "," ","","Unknown"
"62","13781-7785","Model S","Dark - Lighted"," "," ","Y"," "," ",NA," "," ","","Unknown"
"63","13781-7784","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"64","13781-7783","Model Y","Dark - Not Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"65","13781-7782","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"66","13781-7781","Model Y","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"67","855-7779","AMG EQE 53 4MATIC Sedan","Daylight"," "," "," "," "," ",NA,"Y"," ","","Moderate"
"68","13781-7778","Model Y","Dawn / Dusk"," "," ","Y"," "," ",NA," "," ","","Unknown"
"69","13781-7777","Model X","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"70","13781-7776","Model 3","Unknown"," "," ","Y"," "," ",NA," "," ","","Unknown"
"71","13781-7775","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"72","13781-7774","Model X","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"73","13781-7773","Model Y","Dawn / Dusk"," "," ","Y"," "," ",NA," "," ","","Unknown"
"74","13781-7772","Model Y","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"75","13781-7771","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"76","13781-7770","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"77","13781-7769","Model Y","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"78","13781-7768","Model 3","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"79","13781-7767","Model 3","Dawn / Dusk"," "," ","Y","Y"," ",NA," "," ","","Minor"
"80","1420-7761","Jetta","Daylight","Y"," "," "," "," ",NA," "," ","","No Injuries Reported"
"81","10561-7760","Mach E","Unknown"," "," "," "," "," ",NA,"Y"," ","","Fatality"
"82","13781-7759","Model X","Daylight"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"83","13781-7758","Model Y","Dark - Lighted"," "," ","Y"," ","Y",NA," "," ","","Unknown"
"84","13781-7757","Model X","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"85","13781-7756","Model X","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"86","13781-7755","Model X","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"87","13781-7754","Model Y","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"88","13781-7753","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"89","13781-7752","Model Y","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"90","13781-7751","Model Y","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"91","669-7746","Sonata","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"92","669-7747","Santa Cruz","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"93","1306-7737","bZ4X","Daylight"," "," ","Y"," ","Y",NA," "," ","","Unknown"
"94","540-7731","Tahoe","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"95","13781-7736","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"96","13781-7738","Model Y","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"97","13781-7739","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"98","13781-7740","Model X","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"99","13781-7741","Model Y","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"100","13781-7742","Model 3","Dark - Lighted"," "," ","Y"," "," ",NA," "," ","","Unknown"
"101","13781-7743","Model 3","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"102","13781-7744","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"103","13781-7638","Model Y","Daylight","Y"," "," "," "," ",NA," "," ","","No Injuries Reported"
"104","13781-7567","Model S","Daylight","Y"," "," "," "," ",NA," "," ","","Fatality"
"105","945-7588","Ariya","Daylight"," "," "," "," "," ",NA,"Y"," ","","No Injuries Reported"
"106","1243-7274","Outback","Daylight","Y"," "," "," "," ",NA," "," ","","No Injuries Reported"
"107","30711-7649","MKZ","Daylight","Y"," "," "," "," ",NA," "," ","","No Injuries Reported"
"108","13781-7668","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"109","13781-7670","Model X","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"110","13781-7667","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"111","33175-7613","Mustang Mach-E SUV","Dark - Unknown Lighting","Y"," "," "," "," ",NA," "," ","","Fatality"
"112","13781-7655","Model 3","Daylight"," "," ","Y"," ","Y",NA," "," ","","Unknown"
"113","13781-7654","Model 3","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"114","13781-7653","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"115","13781-7652","Model X","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"116","13781-7651","Model Y","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"117","13781-7650","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"118","13781-7638","Model Y","Daylight","Y"," "," "," "," ",NA," "," ","","No Injuries Reported"
"119","945-7635","Ariya","Dark - Unknown Lighting"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"120","13781-7628","Model 3","Dark - Lighted"," "," ","Y"," ","Y",NA," "," ","","Unknown"
"121","13781-7591","Model 3","Dark - Not Lighted","Y"," "," "," "," ",NA," "," ","","Fatality"
"122","62-7622","Accord","Unknown"," "," "," "," ","Y",NA," "," ","","Serious"
"123","13781-7614","Model Y","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"124","13781-7616","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"125","13781-7617","Model Y","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"126","13781-7620","Model S","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"127","13781-7619","Model X","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"128","13781-7618","Model 3","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"129","33175-7613","Mustang Mach-E SUV","Dark - Unknown Lighting"," "," "," "," "," ",NA,"Y"," ","","Fatality"
"130","13781-7567","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Fatality"
"131","540-7451","Escalade","Daylight"," "," ","Y"," "," ",NA," "," ","","No Injuries Reported"
"132","540-7595","Bolt","Daylight"," "," ","Y"," "," ",NA," "," ","","Minor"
"133","28349-3493","Dream","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","No Injuries Reported"
"134","28349-4648","Air","Dawn / Dusk","Y"," "," "," "," ",NA," "," ","","Unknown"
"135","28349-4582","Air (All grades)","Dawn / Dusk"," "," "," "," ","Y",NA," "," ","","Unknown"
"136","28349-4648","Air","Dawn / Dusk","Y"," "," "," "," ",NA," "," ","","Unknown"
"137","28349-6820","GRAND TOURING","Dawn / Dusk"," "," "," ","Y"," ",NA," "," ","","No Injuries Reported"
"138","28349-7362","Air","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","No Injuries Reported"
"139","13781-7574","Model Y","Daylight","Y"," "," "," "," ",NA," "," ","","No Injuries Reported"
"140","13781-7594","Model X","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"141","13781-7591","Model 3","Dark - Not Lighted","Y"," "," "," "," ",NA," "," ","","Fatality"
"142","13781-7593","Model Y","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"143","13781-7592","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"144","945-7588","Ariya","Daylight"," "," "," "," "," ",NA,"Y"," ","","No Injuries Reported"
"145","13781-7587","Model Y","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"146","13781-7586","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"147","13781-7585","Model 3","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"148","13781-7584","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"149","29990-7562","R1S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"150","29990-7563","R1T","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"151","28509-7581","2","Dark - Unknown Lighting"," "," "," "," "," ",NA,"Y"," ","","Minor"
"152","540-7579","Escalade","Daylight"," "," ","Y"," "," ",NA," "," ","","No Injuries Reported"
"153","1422-7580","V60","Daylight","Y"," "," "," "," ",NA," "," ","","Minor"
"154","502-7426","Mach-E","Other, see Narrative","Y"," "," "," "," ",NA," "," ","","Fatality"
"155","502-7268","Mach-E","Dark - Unknown Lighting","Y"," "," "," "," ",NA," "," ","","Fatality"
"156","62-7319","ACCORD","Daylight"," "," "," "," "," ",NA,"Y"," ","","No Injuries Reported"
"157","13781-7574","Model Y","Daylight","Y"," "," "," "," ",NA," "," ","","No Injuries Reported"
"158","13781-7572","Model Y","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"159","13781-7571","Model 3","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"160","13781-7570","Model Y","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"161","13781-7569","Model Y","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"162","13781-7568","Model 3","Dark - Lighted"," "," ","Y"," "," ",NA," "," ","","Unknown"
"163","13781-7567","Model S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Fatality"
"164","13781-7566","Model Y","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"165","13781-7565","Model Y","Dark - Not Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"166","13781-7564","Model Y","Daylight"," "," ","Y"," ","Y",NA," "," ","","Unknown"
"167","29990-7563","R1T","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"168","29990-7562","R1S","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"169","13781-7561","Model 3","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"170","13781-7560","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"171","13781-7559","Model 3","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"172","13781-7535","Model Y","Daylight","Y"," "," "," "," ",NA," "," ","","Serious"
"173","13781-7557","Model Y","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"174","13781-7556","Model Y","Dark - Not Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"175","13781-7555","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"176","13781-7553","Model Y","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"177","13781-7554","Model Y","Dark - Not Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"178","13781-7549","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"179","13781-7547","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"180","13781-7535","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Serious"
"181","502-7268","Mach-E","Dark - Not Lighted","Y"," "," "," "," ",NA," "," ","","Fatality"
"182","502-7426","Mach-E","Unknown"," "," "," "," "," ",NA,"Y"," ","","Fatality"
"183","945-7410","Ariya","Daylight"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"184","1243-7108","Outback","Daylight"," "," ","Y"," ","Y",NA," "," ","","Minor"
"185","1243-7252","Outback","Daylight"," ","Y","Y"," "," ",NA," "," ","","Moderate"
"186","1243-7279","Outback","Daylight","Y"," "," "," "," ",NA," "," ","","Minor"
"187","13781-7479","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"188","13781-7478","Model Y","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"189","13781-7477","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"190","13781-7476","Model 3","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"191","13781-7474","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"192","62-7319","ACCORD","Daylight"," "," "," "," "," ",NA,"Y"," ","","No Injuries Reported"
"193","13781-7472","Model 3","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"194","540-7446","Yukon","Daylight","Y"," "," "," "," ",NA," "," ","","No Injuries Reported"
"195","540-7305","Sierra 1500","Daylight"," "," "," "," "," ",NA," ","Y","partly cloudy","No Injuries Reported"
"196","13781-7197","","Unknown"," "," "," "," "," ",NA,"Y"," ","","Fatality"
"197","13781-7456","Model X","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"198","13781-7455","Model 3","Dawn / Dusk"," "," ","Y"," "," ",NA," "," ","","Unknown"
"199","13781-7454","Model Y","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"200","540-7451","Escalade","Daylight"," "," ","Y"," "," ",NA," "," ","","No Injuries Reported"
"201","13781-7453","Model Y","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"202","33175-7402","Mustang Mach-E SUV","Unknown"," "," "," "," "," ",NA,"Y"," ","","Fatality"
"203","13781-7437","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"204","13781-7436","Model Y","Dark - Not Lighted"," "," ","Y"," ","Y",NA," "," ","","Unknown"
"205","13781-7434","Model 3","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"206","13781-7433","Model 3","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"207","13781-7432","Model Y","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"208","13781-7431","Model Y","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"209","502-7426","Mach-E","Unknown"," "," "," "," "," ",NA,"Y"," ","","Fatality"
"210","13781-7419","Model 3","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"211","13781-7418","Model Y","Daylight"," ","Y","Y"," ","Y",NA," "," ","","Unknown"
"212","13781-7417","Model Y","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"213","13781-7228","Model 3","Dark - Not Lighted"," "," ","Y"," ","Y",NA," "," ","","Unknown"
"214","13781-7185","Model 3","Dark - Lighted"," "," ","Y"," "," ",NA," "," ","","Unknown"
"215","945-7410","Ariya","Daylight"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"216","13781-7409","Model 3","Daylight"," "," ","Y"," ","Y",NA," "," ","","Unknown"
"217","13781-7408","Model Y","Dawn / Dusk","Y"," "," "," "," ",NA," "," ","","Unknown"
"218","13781-7407","Model 3","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"219","13781-7406","Model Y","Daylight"," "," ","Y"," ","Y",NA," "," ","","Unknown"
"220","13781-7405","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"221","13781-7404","Model Y","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"222","13781-7376","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"223","33175-7402","Mustang Mach-E SUV","Unknown"," "," "," "," "," ",NA,"Y"," ","","Fatality"
"224","1420-7400","ID.4","Unknown","Y"," "," "," "," ",NA," "," ","","No Injuries Reported"
"225","1420-7384","Atlas","Unknown","Y"," "," "," "," ",NA," "," ","","No Injuries Reported"
"226","13781-7399","Model 3","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"227","13781-7398","Model 3","Dawn / Dusk"," "," ","Y"," "," ",NA," "," ","","Unknown"
"228","13781-7397","Model 3","Dawn / Dusk","Y"," "," "," "," ",NA," "," ","","Unknown"
"229","13781-7396","Model 3","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"230","13781-7395","Model 3","Dark - Lighted"," "," ","Y"," "," ",NA," "," ","","Unknown"
"231","13781-7394","Model 3","Daylight"," "," ","Y"," ","Y",NA," "," ","","Unknown"
"232","13781-7393","Model 3","Dark - Lighted"," "," ","Y"," ","Y",NA," "," ","","Unknown"
"233","28349-7362","Air","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","No Injuries Reported"
"234","13781-7389","Model 3","Dark - Not Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"235","13781-7388","Model 3","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"236","13781-7387","Model 3","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"237","13781-7386","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"238","13781-7385","Model 3","Daylight"," "," ","Y"," ","Y",NA," "," ","","Unknown"
"239","13781-7383","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"240","13781-7382","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"241","13781-7381","Model 3","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"242","1243-7279","Outback","Daylight","Y"," "," "," "," ",NA," "," ","","Minor"
"243","13781-7376","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"244","13781-7197","","Unknown"," "," "," "," "," ",NA,"Y"," ","","Fatality"
"245","13781-7372","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"246","13781-7371","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"247","13781-7370","Model 3","Dark - Not Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"248","502-7268","Mach-E","Dark - Not Lighted","Y"," "," "," "," ",NA," "," ","","Fatality"
"249","502-7283","Escape","Daylight","Y"," "," "," "," ",NA," "," ","","No Injuries Reported"
"250","753-6931","TELLURIDE","Unknown"," "," "," "," "," ",NA,"Y"," ","","Minor"
"251","753-7087","K5","Dark - Lighted"," "," "," "," ","Y",NA," "," ","","No Injuries Reported"
"252","753-6768","K5","Daylight","Y"," "," "," "," ",NA," ","Y","Completely dry warm weather","Moderate"
"253","28349-7362","Air","Unknown"," "," ","Y"," "," ",NA," "," ","","No Injuries Reported"
"254","13781-7359","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"255","13781-7358","Model 3","Dark - Not Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"256","13781-7355","Model Y","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"257","13781-7354","Model 3","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"258","13781-7353","Model Y","Daylight"," "," ","Y"," ","Y",NA," "," ","","Unknown"
"259","13781-7352","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"260","540-7305","Sierra 1500","Daylight"," "," "," "," "," ",NA," ","Y","partly cloudy","Unknown"
"261","1243-7252","Outback","Daylight"," ","Y","Y"," "," ",NA," "," ","","Moderate"
"262","62-7319","ACCORD","Daylight"," "," "," "," "," ",NA,"Y"," ","","No Injuries Reported"
"263","945-7231","Ariya","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"264","945-7224","Rogue","Daylight"," "," "," "," "," ",NA,"Y"," ","","Minor"
"265","1243-7279","Outback","Daylight","Y"," "," "," "," ",NA," "," ","","Minor"
"266","1243-7274","Outback","Daylight","Y"," "," "," "," ",NA," "," ","","No Injuries Reported"
"267","13781-7281","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"268","13781-7280","Model 3","Daylight"," "," "," "," "," ",NA," ","Y","Partly Cloudy","Unknown"
"269","13781-7278","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"270","13781-7277","Model 3","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"271","502-7268","Mach-E","Dark - Not Lighted","Y"," "," "," "," ",NA," "," ","","Fatality"
"272","945-7231","Ariya","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"273","13781-7264","Model 3","Dark - Lighted"," "," ","Y"," "," ",NA," "," ","","Unknown"
"274","13781-7263","Model Y","Dark - Lighted"," "," ","Y"," "," ",NA," "," ","","Unknown"
"275","13781-7262","Model Y","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"276","13781-7260","Model 3","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"277","13781-7259","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"278","1243-7252","Outback","Daylight"," ","Y","Y"," "," ",NA," "," ","","Moderate"
"279","13781-7248","Model 3","Dark - Not Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"280","13781-7247","Model 3","Dark - Lighted"," "," ","Y"," "," ",NA," "," ","","Unknown"
"281","502-7195","F150","Unknown"," "," "," "," "," ",NA,"Y"," ","","Serious"
"282","13781-7233","Model Y","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"283","13781-7235","Model Y","Dark - Lighted"," "," ","Y"," ","Y",NA," "," ","","Unknown"
"284","13781-7234","Model 3","Dark - Lighted"," "," ","Y"," ","Y",NA," "," ","","Unknown"
"285","13781-7233","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"286","945-7231","Ariya","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"287","13781-7197","Model X","Unknown"," "," "," "," "," ",NA,"Y"," ","","Fatality"
"288","13781-7228","Model 3","Dark - Not Lighted"," "," ","Y"," ","Y",NA," "," ","","Unknown"
"289","13781-7227","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
